Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Rush Hour 2,"$67,408,222 ","$226,164,286 ",29.80%,"3,118","$21,619 ",8/3/2001,New Line Cinema
Fast X,"$67,017,410 ","$145,960,660 ",45.90%,"4,046","$16,563 ",5/19/2023,Universal Pictures
Black Adam,"$67,004,323 ","$168,152,111 ",39.80%,"4,402","$15,221 ",10/21/2022,Warner Bros.
World War Z,"$66,411,834 ","$202,359,711 ",32.80%,"3,607","$18,411 ",6/21/2013,Paramount Pictures
Brave,"$66,323,594 ","$237,283,207 ",28%,"4,164","$15,927 ",6/22/2012,Walt Disney Studios Motion Pictures
Cars 2,"$66,135,507 ","$191,452,396 ",34.50%,"4,115","$16,071 ",6/24/2011,Walt Disney Studios Motion Pictures
X-Men: Apocalypse,"$65,769,562 ","$155,442,489 ",42.30%,"4,150","$15,848 ",5/27/2016,Twentieth Century Fox
Thor,"$65,723,338 ","$181,030,624 ",36.30%,"3,955","$16,617 ",5/6/2011,Paramount Pictures
Teenage Mutant Ninja Turtles,"$65,575,105 ","$191,204,754 ",34.30%,"3,845","$17,054 ",8/8/2014,Paramount Pictures
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$65,556,312 ","$291,710,957 ",22.50%,"3,616","$18,129 ",12/9/2005,Walt Disney Studios Motion Pictures
2012,"$65,237,614 ","$166,112,167 ",39.30%,"3,404","$19,164 ",11/13/2009,Sony Pictures Entertainment (SPE)
Captain America: The First Avenger,"$65,058,524 ","$176,654,505 ",36.80%,"3,715","$17,512 ",7/22/2011,Paramount Pictures
War of the Worlds,"$64,878,725 ","$234,280,354 ",27.70%,"3,908","$16,601 ",6/29/2005,Paramount Pictures
The Twilight Saga: Eclipse,"$64,832,191 ","$300,531,751 ",21.60%,"4,468","$14,510 ",6/30/2010,Summit Entertainment
Star Wars: Episode I - The Phantom Menace,"$64,820,970 ","$431,088,295 ",15%,"2,970","$21,825 ",5/19/1999,Twentieth Century Fox
Madagascar: Escape 2 Africa,"$63,106,589 ","$180,010,950 ",35.10%,"4,056","$15,558 ",11/7/2008,DreamWorks
WALL·E,"$63,087,526 ","$223,808,164 ",28.20%,"3,992","$15,803 ",6/27/2008,Walt Disney Studios Motion Pictures
Pirates of the Caribbean: Dead Men Tell No Tales,"$62,983,253 ","$172,558,876 ",36.50%,"4,276","$14,729 ",5/26/2017,Walt Disney Studios Motion Pictures
Inception,"$62,785,337 ","$292,576,195 ",21.50%,"3,792","$16,557 ",7/16/2010,Warner Bros.
Hancock,"$62,603,879 ","$227,946,274 ",27.50%,"3,965","$15,789 ",7/2/2008,Sony Pictures Entertainment (SPE)
"Monsters, Inc.","$62,577,067 ","$255,873,250 ",24.50%,"3,237","$19,331 ",11/2/2001,Walt Disney Studios Motion Pictures
Bad Boys for Life,"$62,504,105 ","$206,305,244 ",30.30%,"3,775","$16,557 ",1/17/2020,Sony Pictures Entertainment (SPE)
Sherlock Holmes,"$62,304,277 ","$209,028,679 ",29.80%,"3,626","$17,182 ",12/25/2009,Warner Bros.
Fantastic Beasts: The Crimes of Grindelwald,"$62,163,104 ","$159,555,901 ",39%,"4,163","$14,932 ",11/16/2018,Warner Bros.
Hulk,"$62,128,420 ","$132,177,234 ",47%,"3,660","$16,974 ",6/20/2003,Universal Pictures
The Lord of the Rings: The Two Towers,"$62,007,528 ","$339,789,881 ",18.20%,"3,622","$17,119 ",12/18/2002,New Line Cinema
The Amazing Spider-Man,"$62,004,688 ","$262,030,663 ",23.70%,"4,318","$14,359 ",7/3/2012,Sony Pictures Entertainment (SPE)
Mission: Impossible - Fallout,"$61,236,534 ","$220,159,104 ",27.80%,"4,386","$13,961 ",7/27/2018,Paramount Pictures
Clash of the Titans,"$61,235,105 ","$163,214,888 ",37.50%,"3,777","$16,212 ",4/2/2010,Warner Bros.
Transformers: Rise of the Beasts,"$61,045,464 ","$157,066,392 ",38.90%,"3,678","$16,597 ",6/9/2023,Paramount Pictures
Kong: Skull Island,"$61,025,472 ","$168,052,812 ",36.30%,"3,846","$15,867 ",3/10/2017,Warner Bros.
Indiana Jones and the Dial of Destiny,"$60,368,101 ","$174,480,468 ",34.60%,"4,600","$13,123 ",6/30/2023,Walt Disney Studios Motion Pictures
Madagascar 3: Europe's Most Wanted,"$60,316,738 ","$216,391,482 ",27.90%,"4,258","$14,165 ",6/8/2012,DreamWorks
Kung Fu Panda,"$60,239,130 ","$215,434,591 ",28%,"4,114","$14,642 ",6/6/2008,DreamWorks
Straight Outta Compton,"$60,200,180 ","$161,197,785 ",37.40%,"2,757","$21,835 ",8/14/2015,Universal Pictures
Cars,"$60,119,509 ","$244,082,982 ",24.60%,"3,985","$15,086 ",6/9/2006,Walt Disney Studios Motion Pictures
Signs,"$60,117,080 ","$227,966,634 ",26.40%,"3,264","$18,418 ",8/2/2002,Walt Disney Studios Motion Pictures
Fast & Furious Presents: Hobbs & Shaw,"$60,038,950 ","$173,956,935 ",34.50%,"4,253","$14,116 ",8/2/2019,Universal Pictures
Monsters vs. Aliens,"$59,321,095 ","$198,351,526 ",29.90%,"4,104","$14,454 ",3/27/2009,DreamWorks
Star Trek Beyond,"$59,253,211 ","$158,848,340 ",37.30%,"3,928","$15,084 ",7/22/2016,Paramount Pictures
Jumanji: The Next Level,"$59,251,543 ","$320,314,960 ",18.50%,"4,227","$14,017 ",12/13/2019,Sony Pictures Entertainment (SPE)
Jason Bourne,"$59,215,365 ","$162,434,410 ",36.40%,"4,026","$14,708 ",7/29/2016,Universal Pictures
Pearl Harbor,"$59,078,912 ","$198,542,554 ",29.80%,"3,214","$18,381 ",5/25/2001,Walt Disney Studios Motion Pictures
Creed III,"$58,370,007 ","$156,248,615 ",37.40%,"4,007","$14,567 ",3/3/2023,United Artists Releasing
